"filename", "language", "PHP", "Markdown", "JSON", "CSS", "JavaScript", "XML", "SCSS", "HTML", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\soften2-jobseeker-system\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\soften2-jobseeker-system\auth\auth.php", "PHP", 62, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 74
"c:\xampp\htdocs\soften2-jobseeker-system\auth\db-connection.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 13
"c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\README.md", "Markdown", 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 63, 228
"c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\SECURITY.md", "Markdown", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 19, 38
"c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\composer.json", "JSON", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 1, 77
"c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\get_oauth_token.php", "PHP", 84, 0, 0, 0, 0, 0, 0, 0, 0, 46, 17, 147
"c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-af.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 27
"c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-ar.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-az.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-ba.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-be.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-bg.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-ca.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-ch.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 28
"c:\xampp\htdocs\soften2-jobseeker-system\employer-otp\PHPMailer\language\phpmailer.lang-cs.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 29
